# vers	sha256sum	#octets
# https://api.github.com/repos/eXist-db/exist/releases
5.0.0	8845cd43c682baaa66f2d7678ca3ef870e9ccf01685661ae3bd6f09f1f75fb6d	110761898
5.1.0	9b3a86421ffa05c244f6874b5b3132a16490eb118034a68de9acccd663622732	117916158
5.1.1	390e53729964056eed388ab8abdb8623a4bf4b662fc8207c512513b87341dcba	117995277
5.2.0	5e4e297469e6e3f302c8805d9cd09c6f09d5fff76cde14e6e117e9a668205dff	172685479
5.3.0	d360fd5d613cde4886b64159c0ef025f827490ecf6244b7f8c8547415ff85eff	189778729
5.3.1	b58f7f1cf0f2953f4e74722ce7bee1746dbb8f774039d26defe625a246976aa1	181317382
5.4.0	f4e9cfe5e6b00d25eb333fc38fa5f31dbd7e6847f9fec14cb88fc0dd735f5c41	153364804
5.4.1	f93ea3d57b8d1e67fa593e8163690eaebe9da98fc002afe8d9fa21a6fa97110f	153660152
6.0.0	771b9ecbc0563bf60e102346f6df2d8378918abf4b64ec8e9a49372abfaed772	153583042
6.0.1	c3ebb7b8984b405968a3f7b85796d2792217f73916d17bbdc02f74033584e672	153780755
